occupation,frequency,canonical_label
Assistenza generi razionati agli alimentari bar alberghi,1,Food assistance
rappresentante te colori e prodotti chimici,1,Chemical sales
rappresentante i prodotti chimici,1,Chemical sales
Ritratti artistici - Lavori industriali - Reparto elite cinografico - vendita materiale ftocinematografico,1,Artistic portraits
Refrattari - laterizi e calce,1,Construction materials
Reti e articoli da pesca,1,Fishing supplies
"Biancheria fine per signora finita e su commissioni, Corredi, Ricami a mano, di fronte Hotel Bonvecchiati",1,Women's clothing
Ricerche minerarie,1,Mining research
Riparazioni autoveicoli,1,Auto repairs
Riparazioni impianti tecnici e igienici,1,Technical repairs
Riparazioni riavvolgimenti macchine elettriche,1,Electrical repairs
Riscaldamento e termosifoni,1,Heating systems
Riserie,1,Rice production
Ristoranti vegetariani,1,Vegetarian restaurants
Rottami metallici,1,Scrap metal
Ritratti aistici - Lavori industriali - Reparto elio- cianografico,1,Artistic portraits
Scaldabagni elettrici,1,Electric water heaters
Scopai,1,Broom makers
Segnalazioni luminose,1,Signal lights
Sego,1,Sawing
P. Marghera,1,Industrial area
Semiotrica,1,Semiotics
"Consiglio di Amministrazione: Presidente Giovanni Scaramanga di Altomonte; Vice Presidente: cav. di gr. cr. ing. dr. Luigi Macalina; Consiglieri comm. dr. Rodolfo Bernardi; comm. dott. Pardè Formentini; avv. Bruno Forti conte Mario Moretti; dott. Mario Valenti. nuzzi. - Collegio dei Sindaci: gr. uff. rag. Amedeo Fracassi; gr. uff. dott, Cesare Cichi; dott. Girolamo Manzutto; dott. Mario Renzi; dr. rag. Antonio Tedeschi. Direttore Generale: gr. uff. cap. Guido Cosulich, - Sede di Venezia, Direzione ed ufficio merci: Piazza S. Marco. Direttore della sede di Venezia: Com.te, cav. uff, Filibert Francesco.",1,Corporate governance
"Articoli di lusso per ""regali""",1,Luxury goods
"Vetri Artistici, perle specialità, veneziane",1,Artistic glass
"Collane di perle e fiori di vetro, produzione prornia",1,Jewelry production
"Perle, Brillanti imitazione Argenterie, Specialità Veneziane, Casa Fondata nel 1872",1,Imitation jewelry
Artisti Ritratti,1,Portrait artists
Piazz. 27 Ottobre,1,Public square
Agenzia Marittima e spedizioni internazionali,1,Shipping agency
di spedizione,1,Shipping
terrestri,1,Land transport
Lussero Cl. rag. Cesare,1,Luxury goods
S.A.F.A.,1,Unknown
Spettacoli educativi e morali,1,Educational shows
Deposito stoffe,1,Fabric store
Mazzagni Fasolato,1,Unknown
Stufe,1,Stoves
"Affitti, Appartamenti, Compravendita Case, Terrei, Dent, Immobili",1,Real estate
Porto secco,1,Dry port
Cà Vio,1,Unknown
v. Macello,1,Unknown
Tappezzerie,1,Upholstery
Targhe,1,Plaques
gestione S. A.,1,Management company
Teatri,1,Theaters
Gesitone S. A. «I. C. S. A.»,1,Management company
gestione S. A. «I. C. S. A.»,1,Management company
gestione Furlan cav. Giovanni,1,Management/Consulting
"Impianti Telefoni Automatici Interni, Autorizzata dall'Azienda di Stato",1,Telecommunications
Telefoni,1,Telecommunications
Termometri,1,Medical Equipment
"""Lido Gran Viale 27""",1,Address/Location
Tessuti d'arte,1,Textile Art
Labor. Via Cà Rossea 4,1,Laboratory
Ritratti artistici - Lavori industriali,1,Artistic Portraits
Cartotecnica,1,Paper Goods
Tessuti d'Arte creati su telai primiavi,1,Textile Art
Succ. Lorenzo Rubelli e Figlio,1,Textile Business
Fabbrica Timbri in Gomma,1,Rubber Stamp Manufacturing
Sede di Venezia,1,Office/Headquarters
Torroni,1,Confectionery
COMPRESSORI D’ARIA,1,Air Compressors
TRAPANI ELETTRICI,1,Electric Tools
Trasporti aerei,1,Air Transport
Trasporti marittimi e fluviali,1,Maritime Transport
Esercizio,1,Business/Enterprise
Società Adriatica Trasporti Turismo Imbarchi,1,Transport and Tourism
TRASPORTI POSTALI,1,Postal Services
TRASPORTI SERVIZI PORTUALI,1,Port Services
"Rinomata cucina, VIni scelti, Servizio accurato",1,Restaurant/Catering
Alla Salute Risorta,1,Restaurant
"La più caratteristica Trattoria, di Polo Pietro fu Osvaldo, Telefono 25-463",1,Restaurant
Il ritrovo dei buongustai,1,Restaurant
Tubi in cemento,1,Concrete pipes
Tubi in ferro e acciaio,1,Iron and steel pipes
Turaccioli,1,Corks
Utensili e utensileria in genere,1,Tools and hardware
Vernici e smalti,1,Paints and varnishes
Vestiario,1,Clothing
Vetrerie scientifiche e farmaceutiche,1,Scientific and pharmaceutical glassware
"Vetreria Artistica e Stampata, Soffleria Sanitaria, Fiale ed Afftni, Lampadari e Vetri Artistici di Murano",1,Artistic glass and Murano glass
S.A.V.I.A.,1,Unknown (possibly a company)
Vetri di Murano,1,Murano Glass
Vetri sanitari,1,Sanitary glass
Vetroflex,1,Glass products
Zuccherifici,1,Sugar factories
diret. uff. del Registro,1,Registry office director
Comandante Legione Terr. della Guardia di Finanza,1,Commander of the Financial Guard
trasporti fluviali,1,River transport
Adriatica Costruzioni Edilizie,1,Construction company
giornalaio (vendita),1,Newsstand
il caffè (esercizio),1,Café
Aromi dolci affini di Marcassoli Marino,1,Sweet flavors
ing. Sez. Corpo del Genio Civile,1,Civil engineering
segretaria Istituto Universitario di Economia e Comm. Cà Foscari,1,University secretary
costruzioni e riparazioni navali,1,Shipbuilding and repairs
provveditorii marittima,1,Maritime supplies
navi compravendita,1,Ship brokerage
Capitale sociale L. 150.000.000,1,Financial institution
fiati ed affini,1,Musical instruments
Accomandita Gestioni,1,Management company
Azienda Generale (carrozzieri,1,General company (carriage)
Azienda Generale Italiana Petrolii,1,Oil company
Raffineria e Depositi,1,Refinery and storage
Capo rip. personale Polrvice dello Stato,1,Government employee
maglieria,1,Knitwear
Casa Italiana Rappresentanze Depositi affini C.I.R.L.A.,1,Italian representation agency
awvoc,1,Legal profession
Azienda Immobiliare Anonima,1,Real estate company
quadri-riproduzionl ed oggettl artistici,1,Art reproductions
Fid. Prova-della (V.U.V.),1,Testing agency
Pastore,1,Pastor
Pellicce e Confezioni per Signora,1,Fur and women's clothing
carpenterie,1,Carpentry
Bacino Orseolo 1198,1,Water basin
"Alla Colonna, trattoria,",1,Restaurant
informazioni commerciali,1,Commercial information
oste,1,Innkeeper
vetri,1,Glass products
Ingegner Capo del Corpo del Genio Civile,1,Civil engineering
Direttore Ass,1,Assistant director
cotoleria,1,Stationery
vallicultura,1,Aquaculture
Capo Servizio Sez. Deposito Franco,1,Shipping company
linge rie e maglierie,1,Linen and knitwear
alluminio,1,Aluminum
Avogado degli Azzoni,1,Lawyer
vet radeo,1,Glass
Officina Meccanica Metallurgica e Costruzioni in Ferro,1,Mechanical and metallurgical workshop
Importazioni ed esportazioni varie,1,Import/export
Ispettore Divisione S. Lucia,1,Inspector
Rappresentante cingalmerie,1,Representative
Carbone e legna (grossista),1,Coal and wood wholesaler
Ortaggi loc. Gaggio,1,Vegetables
Medico Chirurgo Riceve dalle ore 15 alle ore 18,1,Surgeon
Barbiere pt. Piccolo 426,1,Barber
Cassiere Banca Nazionale del Lavoro,1,National Labor Bank
Commissariato,1,Police station
Alimentari (dett),1,Grocery
Cingalagerie,1,Cingalese goods
Surrogati,1,Surrogates
"Sanpoli Lux, S. Molsi 2025",1,Unknown
Officina meccanica,1,Mechanical workshop
"Bar, Caffè",1,Bar/Café
Arredamenti,1,Furnishings
Merceria,1,Haberdashery
"Trasporti marittimi, fluviali e terrestri",1,Transportation services
Industria dello spettacolo,1,Entertainment industry
Società di Assicurazioni,1,Insurance company
"Istituto di Informazioni e di Investigazioni, Ricerche, agenzia d'informazioni e investigazioni",1,Investigation agency
Organizzazione Trasporti di qualsiasi tipo,1,Transportation organization
Accomodini Verzemin Alimentari D. Caonet di. Ca Ponte e C. Alimentari (arross.),1,Food distribution
Stazione di Mestre,1,Train station
Azienda Agricola,1,Agricultural company
"Cantieri navali, trasporti marittimi fluviali e terrestri",1,Shipbuilding and transport
Impresario Edile,1,Construction contractor
"Panificio, pastificio",1,Bakery
Locanda,1,Inn
maglierie negozio,1,Knitwear shop
lingerie,1,Lingerie
rappresentante cicli e accessori,1,Bicycle sales
chincaglierie vernici,1,Hardware store
Succ. Ditta Perissinotto Giuseppe di Nicola Qualsiasi lavoro in fiori,1,Florist
cattoria,1,Notary
S. M. Elisabetta 31 piante e sementi,1,Plant nursery
macerie,1,Construction debris
eletricista,1,Electrician
S.,1,(Unclear)
lavorazione dzoghe,1,Textile processing
Consigliere Segr.,1,Civic advisor
Banco di Roma condirettore,1,Bank
spec. Vernizione,1,Paint specialist
alimentari (gross e,1,grocery store
parrucchiere per signora e berbiere,1,hairdresser
fotografe,1,photography
specialità veniziane,1,Venetian specialties
materiali refrattari e laterizi. Prodotti chimici,1,refractory materials
materiale per construzioni edilizie,1,construction materials
raprresentante,1,representative
tipografa,1,printing
carta e stracci per cartiere,1,paper products
lattera,1,dairy
" Telefono 25.889, ",1,telephone service
bronzi,1,bronze works
fattoria,1,farm
importo di Consumo,1,consumption tax
antiquità belle arti,1,antiques
pelle (lavor.e commercio),1,leather trade
rappresentante pellami,1,leather representative
prodotti chimici (commercio),1,chemical products
capelliera,1,hat shop
stucchi,1,stucco
Direttore Banco San Marco,1,bank director
sguero,1,unknown
croft (esercizi),1,crofting
confezioni Varie,1,various packaging
articoli Casalinghi,1,household items
prodotti chimici commercio,1,chemical products trade
legnami e pali da costruzione,1,timber and construction poles
Alla Vida,1,restaurant
abiti confezioni,1,clothing manufacturing
o. pensione,1,boarding house
Capo Divisione prima,1,chief division
nacelleria,1,shipbuilding
deputato Amminist. della Provincia,1,provincial government official
latticini alimentari,1,dairy products
agrumi,1,citrus fruits
Sostituto Proc. Tribunale Civile e Penale,1,substitute prosecutor
Procuratore Tribunale dei Minorenni,1,juvenile court prosecutor
calcature,1,footwear
"Uff. Supelivo - Addetto, Legione Ferr. della Guardia di Finanza",1,finance guard officer
calzificio,1,shoe factory
Procuratore presso la Corte d’Appello,1,appellate court prosecutor
Ispettore Istituto Aut. per le case popolari,1,housing authority inspector
macellaeria,1,butcher shop
legatoria di Libri,1,bookbinding
corredi,1,trousseau
calzaturaio,1,shoemaker
cinzieria,1,furrier
"Di vetterti Aumn, Istibuto Prov. degli Esposanti",1,provincial exhibition institute
mosocore,1,unknown
officina meccanica metallurgica e construzioni in ferro,1,mechanical workshop
tessanti,1,weavers
Direttore Banqueca Veneziana di Cprediti e Conti Corrrenti,1,banking institution
pelterie,1,furrier
"Ottica, ingegneria, fotografia",1,optics and engineering
mediatrice e sensale marittima,1,maritime broker
alimentari (grosso),1,wholesale food
macelleria (introduced bestiame),1,butcher shop
macellaio (introdtuto e bestiame),1,butcher
micelleria,1,grocery
quadri,1,art dealer
ertaio,1,gardener
(abbigra),1,clothing
Canal Palazzo Widmann,1,canal
costruttore edile,1,construction contractor
liquori fabbrica e depositi,1,liquor manufacturer
Associazione,1,association
articoli da bagno,1,bathroom articles
Trattoria Locanda „Alle Anche Figure„,1,trattoria
Enego,1,unspecified location
officina meccanica metal. lurgica e costruzioni in ferro,1,mechanical workshop
Conditore,1,confectioner
"Ispettore, Materiale e Trazione, Ferrovie dello Stato, Direzione",1,government inspector
cicli e motocicli (posto per noleggio riparazioni),1,bicycle and motorcycle rentals
 negozio,1,shop
chinaglieie,1,antiques
macelleria (introduttore Ac. stime),1,butcher
Direzione Marittima e Gabinetto,1,maritime authority
imprese e opere marittime,1,maritime enterprises
Uff. di Magazzino,1,warehouse office
ragioniere,1,accountant
S. Giuliano.,1,church
Capo Uff. Amministrazione,1,head of administration
pelli,1,leather goods
buste salate,1,salted pastries
pesce conservato caviale,1,preserved fish
nobili,1,nobility
capitano,1,captain
starchics,1,starch products
Geomera,1,surveyor
V. Direttore,1,deputy director
Rappresentante Generi Alimentari,1,food representative
Fornitore Marittime,1,maritime supplier
Alimentarì (dett.),1,foodstuffs
Noleggio Imbarcazioni,1,boat rental
Abbigliamento per Bambini e Ragazzi,1,children's clothing
Sarto Da Uomo,1,men's tailor
Agenzia Traslochi,1,moving agency
Imprese ed Appalti Vari,1,Construction and Contracts
Picchettaggio e Verniciatura Prosceni,1,Scaffolding and Painting
Vice Presidente Deputazione Provinciale dell’Amministrazione della Provincia,1,Provincial Administration
Automoleggigo e Autorimessa,1,Car Rental and Garage
Parrucchiere per Signora,1,Women's Hairdresser
Relatore Comando di Legione Guardia di Finanza,1,Finance Guard Command
Ferramenta e Colori,1,Hardware and Paints
Impianti Elettro-Industriali,1,Electrical Engineering
Casa del Regalo,1,Gift Shop
Elettricità Idraulica e Gas,1,"Electricity, Plumbing, and Gas"
Imprese ed Appalti,1,Enterprises and Contracts
Ritratti Artistici - Lavori Industriali,1,Artistic Portraits - Industrial Works
"alimentari, (dett.)",1,Food Products
cartoleria profumeria,1,Stationery and Perfume
Pres. Soc. Ven. della (IFSE),1,President of Venetian Society
di Indri Giovanni,1,Giovanni Indri
"Vice Direttore, Banco di Napoli, ",1,"Vice Director, Bank of Naples"
strumenti musicali e materiele radio,1,Musical Instruments and Radio Equipment
coltelleria e arrotini,1,Cutlery and Sharpening
mobili artistici e laccati,1,Artistic and Lacquered Furniture
carbone e legnai dettagli,1,Coal and Timber
drogherie,1,Grocery Store
"drogheria, apprendante prodotti chimici",1,"Grocery, Chemical Products"
utensili,1,Tools
segreteria Istituto Universitarlo Economía e Com. Ca' Foscari,1,Secretariat of University Institute Economics and Commerce Ca' Foscari
"Articoli sanitari, Articoli di gomma, tecnici ed industriali, l'nper. meschi Pirelli, Buetti Berni e delle migliori Marche, Forniture complete per,Ambulatori""",1,Medical supplies
"Segetarjo Capo Uff. Impianti Elettrici e di Segnalamento, Ferrovie dello Stato, Direzione S. Lucia",1,Electrical engineering
fonderia meccanica,1,Foundry
"prodotti chimici, petrolio e benzina, marmi e cemento * * * * * * colori e vernici, ferramenta e metalli, carburo di calcio,",1,Chemical products
cortele e e perle,1,Jewelry
Museo Archeologico,1,Archaeological museum
acque minerali,1,Mineral water
La Radio-elettrica,1,Radio equipment
Magazzino Ferro,1,Iron warehouse
macchine da cucire e accessori,1,Sewing machines
saponi coloniali modici il *-promata,1,Soap manufacturing
"colori e vernici, (dettaglio)",1,Paints and varnishes
Presidente di Sez.,1,Civic leader
impresa di costruzioni e falegnameria,1,Construction and carpentry
calzaturifico,1,Footwear manufacturing
produieni,1,Manufacturing
pizzi e ricami,1,Lace and embroidery
Banca Nazionale del Lavoro,1,National Labor Bank
riparazioni carrozzerie per auto,1,Auto body repair
ingrosso,1,Wholesale
espresso pozzi neri,1,Waste management
ippotrasporti,1,Transport services
negozio,1,Retail store
gros.,1,Wholesale
ra-bone e logna (dettaglio),1,Wood and timber
Caffè {torreflazione),1,Coffee Roasting
"« Biasetto », mercerie, fliati e affini",1,Haberdashery
dettuanaglio,1,Unknown
Istituto Artigianelli,1,Craft Institute
Forossitti,1,Unknown
"Istituto Universitario di Economia e Commercio, Ca' Foscari",1,University of Economics
Legione Territ. Guardia di Finanza di Marghera,1,Government Institution
s. r. l.,1,Limited Liability Company
Istituto Nazionale per il Commercio Estero,1,Foreign Trade Institute
Amm. Imposte di Consumo del Comune,1,Tax Administration
latte (grossista),1,Dairy Wholesaler
carpentire,1,Carpentry
officina meccanica e saldature,1,Mechanical Workshop
Vicc. Presid. Club Alpino Italiano,1,Alpine Club
Capo Cantiere da A. C. N. I. L.,1,Construction Foreman
chincaglie,1,Trinkets
Dep. Fornaggi,1,Supply Department
applicato segreteria Istituto Universitario di Aretich.,1,University Secretariat
Costruzioni Navali,1,Shipbuilding
Trasporti Postali Carcerari,1,Postal Transport
navi in legno,1,Wooden Ships
cantiere navale S. An,1,Shipyard
cantiere navale Monigrea,1,Shipyard
imprese opere marittime,1,Maritime Enterprises
modificatore,1,modifier
Demanio e Pesca Capparinesi di Porto,1,fishing authority
Presidente Tribunale Civile e Penale,1,civil and criminal court
Gestione P. Y. Socimezarea,1,management company
curato autonomo,1,autonomous priest
rappresentante generali alimentarali,1,food representative
sottoscrira,1,subscription
mercegie pellicceria,1,fur goods
matalto neuro-se,1,neuro-medicine
Bibliotecc 1. stituto Universitario Economia Commercio Co Foscar.,1,university library
detersivi saponi aflini,1,detergents and soaps
ca-toleria,1,confectionery
sa to da uomo,1,men's clothing
rappresentante generi alimentari tevi (grosso),1,food wholesaler
Patrocinatore legale,1,legal advocate
macchine contabili calcolatrici,1,accounting machines
trattorio,1,trattoria
elettricisti idraulica gas,1,electricians and plumbers
ostetrico,1,obstetrician
profumeria e parrucchiere per signora,1,perfumery and hairdressing
Sostituto Proc.,1,substitute prosecutor
"orificeria, gioielleria",1,goldsmith and jewelry
anticihità belle arti,1,antiques and fine arts
"vicario S. Leone, (S. Lio)",1,vicar
località Dese,1,locality
 Dese,1,Unknown
carrozzeria,1,Car body shop
legnami e pelli da costruzioni,1,Timber and leather
divise,1,Uniforms
"Amministratore, Medio acg. dr. Ulisse Camalfi, Consulente ordinario dr. Tancredi Cortei",1,Legal profession
Istituto Ortopedioco Elioteropico,1,Orthopedic institute
casa di spedizione,1,Shipping company
mobilio (negozio),1,Furniture store
Arredamenti completi,1,Complete furnishings
imbarcbi e subarbe,1,Shipping and subletting
Esclusivisti delle rnigliori Marche Nazionali ed Estere,1,Exclusive distributors
"Agenzia di Città: Ponte dei Bareteri, Agenzia di Lido: Gran Viale Santa Maria Elisabetta",1,City agency
"di Belle, Ferrer e Zacchiroli M., carbone e legna (grossista)",1,Wholesale coal and wood
Lavorazione artistica mosaici in smalto di vetro Veneziano,1,Artistic mosaic work
"Filiala: Pietrasanta (Carrara), Viale Oberdan 4, teleg. Castaman Pietrasanta",1,Branch office
rappresento macchine,1,Machinery representative
mobilit (negozio),1,Furniture store
riscaldamento e fumisteria,1,Heating and plumbing
Direttore Banca d'A. mercica e d'Italia,1,Banking institution
guarnizioni isolanenti,1,Insulating gaskets
chirurg,1,Surgeon
par. socio,1,Unknown
caffe',1,Café
aimenzanti (dett.),1,Unknown
Com. Esecutivo della Cam. Conf. del lavoro,1,Labor Union
Segretaria della Camera Conf. del Lavoro,1,Labor Union Secretary
sa ta,1,Unknown
pasticcera,1,Pastry Shop
"Vice Cam. dirigente ""Commissariato di Castello""",1,Government Official
medicina generale-Ospedale Civile,1,General Medicine - Civil Hospital
"Gespppe Vec-tore s. N., Società mineraria",1,Mining Company
alimentari (dtt.),1,Food Products
caffe' (esercizi),1,Café
orefice'ia,1,Goldsmith
merce'cie,1,Merchandise
chiancigliere,1,Unknown
aromi per dolci,1,Baking Aromas
fale indoperiche,1,Carpentry
"shalza-tore, cesellatore",1,Silversmith
 Dettaglio,1,Retail
 Tessuti,1,Fabrics
"Materiale per costruzioni edilizie, Leggere e rapide",1,Construction Materials
"Mercerie, filati e affini",1,Haberdashery
"Compagnia Erbe, Medicinali, Alimentari",1,Herbal and Food Company
Materiale per costruzioni edilizie,1,Construction Materials
"Amministrazione della Provincia, Economo Provinciale",1,Provincial Administration
"Capo Stazione, P.le Stazione",1,Station Master
"Vice Presd. Società Canottieri, Numero 5576-A",1,Rowing Club Vice President
Negozio l’imbarchaioni,1,Boat Shop
Tormo,1,Unknown
Lavanderia e Stireria,1,Laundry and Ironing
Vini (Grossista),1,Wine Wholesaler
Acque Gassate,1,Carbonated Water
"Fabbrica Vetri, Ditta",1,Glass Factory
Gran Caffè Bar 900,1,Café
Aiutante di CancelI. della Pietura,1,Clerk Assistant
Merletta e cirmi,1,Lace and Embroidery
Ceramica,1,Ceramics
 noleggio riparazioni),1,Rental and Repairs
rappresentanti carboni,1,Coal Representatives
articoli tecnici combustibili solidi e liquidi,1,Solid and Liquid Fuels
Agenzia Marittima e Spedizioni Internazionali,1,Shipping Agency
I. Archiviasti del Genio Civile,1,Civil Engineering Archives
droghcr (commercio),1,Grocer
Cassiere Principale Banca di Napoli,1,Chief Cashier
Ing. Capo Ufficio Tecnico dell’Amministrazione del Provincia,1,Chief Engineer
fotografe (ottico,1,Photographer
rappresentante assicurazioni,1,Insurance Representative
Compagnia Immobiliare Edile,1,Real Estate Company
gestione ICSA,1,Management ICSA
gestione SPES,1,Management SPES
Ritratti artistici,1,Artistic Portraits
corred di sposa ment-le e rangni,1,Bridal Accessories
Direttore Consorzio Agrario Cooperativo,1,Director Agricultural Consortium
caffè (eserzio),1,Café
Printe. Uff. Impianti Elettrici e di Segnalamento,1,Electrical Engineering
manifattura,1,Manufacturing
color e vernici,1,Paints and Varnishes
Accademia di Belle Arti,1,Fine Arts Academy
Vice comm. Agg. dirigente Commissariato di,1,Government Agency
Geometra principale del,1,Surveyor
piante e sementi,1,Plants and Seeds
"galvanizzatore, cesellatore",1,Metalworker
"Colorificio Veneziano, gioielleria",1,Jewelry Store
casi di spedizione,1,Shipping Cases
gas (industria),1,Gas Industry
droghe (commercio),1,Drug Trade
Confezioni per signora,1,Women's Clothing
Albergo,1,Hotel
Marittimi,1,Maritime Services
"Soc. Coop. a r. l, alimentari (det.t.)",1,Food Cooperative
Salumi (negozio),1,Deli
Zuccherificio,1,Sugar Factory
Latte (produzione),1,Dairy Production
Professore,1,Professor
"Alimentari (gross.), loc. Villabona",1,Wholesale Grocer
"caffè (esercizi) | ""Circolo Varioni""",1,Café/Circle
"Soc. Coop. a. r. e. 1., alimentari (dett.)",1,grocery store
"Soc. per Az. a. r. 1., electrica e idraulica",1,electrical and hydraulic
facchini pubblici,1,porters
pirechettaggio e verniciatura piroscafi,1,ship painting and varnishing
patrimenti Ientazioni,1,unknown
"s. a. r. 1., alimentari (dett.)",1,grocery store
impresa Edile,1,construction company
portabagagli | nella Stazione di Venezia,1,luggage handlers
facchini | publici,1,porters
tubazioni industriali,1,industrial piping
palombari,1,divers
Geometre,1,surveyor
materiali radio elettrici,1,electrical materials
piloti,1,pilots
trattatia,1,trading
olii,1,oils
Segretario Società Costruzioni Bincionaro,1,construction secretary
timbri di gomma in metallo e incisioni,1,rubber stamps and engravings
arpicprete Basilica di San Marco,1,interpreter Basilica of San Marco
vini alimentari (ingrosso) (dett.),1,wholesale wines
macellaia,1,butcher
ferri e metalli usati,1,used metals
tornitore 2362,1,turner
comprvendita immobili,1,real estate
orologiaio,1,watchmaker
elettricità idraulica gas,1,utilities
ottici (commerce),1,optician
"Revisore Ufficiale dei Conti, Amministratore Giudiziario",1,legal profession
Serramenti ed Affissi,1,windows and fixtures
dermosifilopatica,1,medical profession
macchine elettrica industriali e motori,1,industrial machinery
dolciumi (girosso),1,confectionery
Capo Stazione di Prima Classe,1,railway station master
Segret. presso la Corte d'Appello,1,legal profession
Pres.,1,government/civic institution
"Geometra, prin.e del Genio Civile",1,civil engineering
 bottiglieria. (esercizi),1,wine shop
Revisore dei Cont.,1,auditor
Capo uff. Trasmissioni,1,telecommunications
perle (lavorie i commercio),1,pearls (trade)
macelliere (introduttore bestiame),1,livestock dealer
autotrasport,1,transportation
jeuta,1,unknown
macelleria (isola della Chiesa),1,butcher shop
radiogiologo,1,medical profession
salumn (negozio),1,unknown
junioico,1,unknown
Questura,1,police station
pittori decoratori,1,decorative painters
catalfurcicico,1,furniture
bandaro a luttioniere,1,bandmaster
imp::e(.9 ed appalti,1,construction contracts
impresa-edile,1,construction company
Ispettore Capo Ufficio scritture,1,chief office inspector
"Addetto ""Consigliere""",1,advisor
impianti frigoriferi,1,refrigeration systems
incisore,1,engraver
har,1,Unknown
pellami e cuolo,1,leather goods
orefaceri,1,goldsmith
ingg.,1,engineering
Cassiere,1,cashier
Leva e Mobilitazione,1,recruitment and mobilization
Filatelica,1,philatelic
frigorifero e commcerstihii; catti,1,refrigeration and commerce
Brendole,1,not applicable
arw.,1,not applicable
Ragiionere,1,accountant
materiale fotografico etc.,1,photographic materials
Comandante Comando Gruppo Agenti P. Sicurezza,1,security commander
Soc. Industria Conserv alimentari,1,food preservation industry
cartu (commercio),1,paper trade
salami,1,salami
lavorazione doghe,1,wood processing
autorimessa,1,garage
sindaco supplente,1,deputy mayor
madura georlua. Le,1,unknown
Vicario S. Sofia,1,vicar
ortopedico,1,orthopedic
impianti condizionamento d'aria,1,air conditioning
"Alla Città di Scbio, Tessuti",1,textiles
liagerie,1,bookstore
asserioazioni,1,unknown
"consigliere Istituto Univers. di Economia e Commerico, C'a Foscari",1,university advisor
fabbro ferruic meccanico,1,blacksmith
pittunzionii industriali,1,industrial painting
 carbone e legna (dettaglio),1,coal and wood
ldm. Domnla Onesta,1,unknown
ferramenta metalli,1,hardware store
 (commercio),1,commerce
Segretario Tribunale dei Minorenni,1,juvenile court secretary
Uff. pagat. Legione Territ. Guardia di Finanza,1,finance guard office
Aiutante Magg. della Guardia di Finanza,1,finance guard assistant
Succ: Fratelli Scarpa,1,unknown
Comandante le tenenze Legione Territoriale dei Carabinieri,1,commander of carabinieri
Carbone e legna (vendita al dettaglio),1,Coal and Wood Retail
Apparecchi o materiale radio,1,Radio Equipment
Antichità e belle arti,1,Antiques and Fine Arts
Fruttivendolo,1,Fruit Seller
Abbigliamento uomo,1,Men's Clothing
imprese Edili,1,Construction Companies
Segret. Capo Sez. Amministrativa,1,Administrative Secretary
Colonia Alpina S. Marco,1,Alpine Colony
ferramenta,1,Hardware Store
Ritratti artistici e Lavori industriali - Reparto eliotro cinematografici - vendita materiale fotoincotenografico,1,Artistic Portraits and Industrial Works
orefeceria gioielleria,1,Jewelry
vetri artistici,1,Artistic Glass
agenzia nolleggio film,1,Film Rental Agency
Ass. Imprese Elettriche Veneto Adriatiche,1,Electric Company
a M arcianca,1,Unknown
dott.,1,Doctor
impresa edili,1,Construction Company
vernici sottomarine,1,Underwater Paints
Società Immobiliare,1,Real Estate Company
Agente per l Venetti E. A. Super Lux,1,Agent for Venetti
macellaio,1,Butcher
Trattoria vini,1,Wine Tavern
fabbr. Terrario e mecca. nico,1,Terrarium Manufacturer
molino,1,Mill
"Ispett. Capo, Uff. Impianti Elettrici e di Segnalamento, Ferrovie dello Stato, Direzione S. Lucia",1,Government/civic institution
manipolazione carboni FF. SS.,1,Coal handling
rappresentante goiieri alametari,1,Newspaper representative
Segretario Regionale del Lavoro per le Venezie,1,Government/civic institution
Rivendita giornalai,1,Newsstand
frutti e vermora (grossista),1,Wholesale fruits and vegetables
elettricista idraulica e gas,1,Electrician and plumber
Birreria,1,Brewery
alla Basilica d’Oro,1,Religious institution
Combustibili solidi e liquidi,1,Solid and liquid fuels
pelletterie (negozio),1,Leather goods store
lucido da scarpe,1,Shoe polish
Formaggio burro e conserva,1,Dairy products
pellami e cuoi.,1,Hides and leather
hotelgieria,1,Hospitality industry
Vice Direttore Banca di Roma,1,Banking profession
rappresentanti articoli in vetro,1,Glassware representative
 al Pingrosso,1,Wholesale
Vice Presidente Deputazione Provinciale dell'Amministrazione della Provincia,1,Government/civic institution
scnure,1,Unknown
mobiliti usati,1,Used furniture
Istituto Zambler,1,Educational institution
merce- rie,1,Merchandise
Forniture e Rappresentanze Articoli tecnici di Actis Caporale Letizia,1,Technical supplies
Purroco San Polo Apostolo,1,Religious institution/clergy
Tipografia; Cartoleria,1,Printing and Stationery
Alimentari (dett.); Latteria,1,Grocery and Dairy
Biblioteca Marciana,1,Library
Confezioni,1,Tailoring
Rappresentanze di prodotti chimici,1,Chemical Products Representation
Mobili (negozio); Cartoleria,1,Furniture and Stationery
Pediatra,1,Pediatrician
Cappelleria,1,Hat Shop
Lingerie e maglie-ig.,1,Lingerie and Knitwear
Tappezziere,1,Upholsterer
Mod.; Pellicerie,1,Fashion and Fur
Fotografa,1,Photography
cabbone e legna,1,Coal and Wood
Industria,1,Industry
frutta e vedura,1,Fruits and Vegetables
Generatori Accellene Brevettati,1,Patent Generators
Dirig. Uff. Srrvizio,1,Government Office Management
fiori artificiali,1,Artificial Flowers
"oggetti artistici, fotografia",1,Artistic Objects and Photography
"Presidente Ass. dei Commercianti, ",1,Merchants Association President
in melleria,1,Not clear
