profession,frequency,cluster_id,category_name
 Lavorazione 'Acurata,1,9,Industrial & construction trades
 vetrerie e oggetti artistici,1,9,Industrial & construction trades
 industria,1,9,Industrial & construction trades
 spazzole,1,9,Industrial & construction trades
lavanderia e stireria,1,9,Retail trade & consumer goods
 smalti ecc.,1,9,Industrial & construction trades
 cristalli e spechi (commercio e lavorazione),1,9,Industrial & construction trades
 importazioni ed esportazioni varie,1,9,Industrial & construction trades
"fiori, piante e sementi",1,9,Industrial & construction trades
 Vetro neutro,1,9,Industrial & construction trades
ricuperi navali,1,9,Industrial & construction trades
rappresentante articoli casalinghi,1,9,Industrial & construction trades
carbone e legna,1,9,Industrial & construction trades
 Forniture,1,9,Industrial & construction trades
Fabbrica Timbri - Studio Incisioni,1,9,Industrial & construction trades
 mobili,1,9,Industrial & construction trades
cristali e spechi,1,9,Industrial & construction trades
vele e bandiere,1,9,Industrial & construction trades
 acquisto fabbricati e aziende agricole,1,9,Industrial & construction trades
"Lavori Fotografici, Fotomateriale",1,9,Industrial & construction trades
 cantiere navale,1,9,Industrial & construction trades
"Laboratorio Cornici ed Affini, Vetri, Specchi, Cristalli, Quadri",1,9,Industrial & construction trades
fluviali e terrestri,1,9,Industrial & construction trades
Disinfestazioni con gas tossici,1,9,Industrial & construction trades
industries boschive,1,9,Industrial & construction trades
 combustibili liquidi (geonotta),1,9,Industrial & construction trades
 acque minerali,1,9,Industrial & construction trades
 carburanti olii ed affnii,1,9,Industrial & construction trades
apparecchi elettromeccanici,1,9,Industrial & construction trades
articoli fotografici,1,9,Industrial & construction trades
 industria chimica,1,9,Industrial & construction trades
 carburanti,1,9,Industrial & construction trades
olii minerali,1,9,Industrial & construction trades
prodotti chimici,1,9,Industrial & construction trades
elettricità (produzione distribuzione),1,9,Industrial & construction trades
ossidi metallici,1,9,Industrial & construction trades
spedizioni e trasporti,1,9,Industrial & construction trades
 pellic-erie manifatture fiutate,1,9,Industrial & construction trades
Articoli Casalinghi,1,9,Industrial & construction trades
 officina meccanica e metallurgica,1,9,Industrial & construction trades
officina meccanica e saldatura,1,9,Industrial & construction trades
 acque gassaste,1,9,Industrial & construction trades
 impianti terrestri e navali,1,9,Industrial & construction trades
Arredamento e temi,1,9,Industrial & construction trades
vetro lavorazioni,1,9,Industrial & construction trades
 Mobili di qualsiasi Tipo,1,9,Industrial & construction trades
ingegnere,1,9,Industrial & construction trades
Tutti i prodotti ZAMPIRONI sono di massima fiducia,1,9,Advertisement-dominated content
 tubi in ferro,1,9,Industrial & construction trades
"per Igiene edilizia, ",1,9,Industrial & construction trades
dommatica,1,9,Industrial & construction trades
 Tappeti,1,9,Industrial & construction trades
 tessuti seterie e affini,1,9,Industrial & construction trades
Impianti di illuminazione a gas vari,1,9,Industrial & construction trades
 cardanetti,1,9,Industrial & construction trades
 impianti elettrici,1,9,Industrial & construction trades
vetrerie in genere lampadari,1,9,Industrial & construction trades
 articoli casalinghi,1,9,Industrial & construction trades
aggiusta maturittima rimorchiatore,1,9,Industrial & construction trades
 pelli e materiale per costruzioni edilizie,1,9,Industrial & construction trades
Legname Compensato,1,9,Industrial & construction trades
prodotti siderurgici e metallurgici,1,9,Industrial & construction trades
materiali ferrosi da riutilizzo,1,9,Industrial & construction trades
vetro e ceramica,1,9,Industrial & construction trades
radio e accessorii,1,9,Industrial & construction trades
elettricità ed idraulica,1,9,Industrial & construction trades
materiali da costruzione,1,9,Industrial & construction trades
mobili,1,9,Industrial & construction trades
rivieditori zenergi ni Monopolio,1,9,
grossisti combustibili e solidi,1,9,Industrial & construction trades
