category,frequency,canonical_label
drogherie,1,Grocery Store
"drogheria, apprendante prodotti chimici",1,Grocery Store
utensili,1,Tools
segreteria Istituto Universitarlo Economía e Com. Ca' Foscari,1,University Institution
"Articoli sanitari, Articoli di gomma, tecnici ed industriali, l'nper. meschi Pirelli, Buetti Berni e delle migliori Marche, Forniture complete per,Ambulatori""",1,Medical Supplies
"Segetarjo Capo Uff. Impianti Elettrici e di Segnalamento, Ferrovie dello Stato, Direzione S. Lucia",1,Government Institution
fonderia meccanica,1,Mechanical Foundry
"prodotti chimici, petrolio e benzina, marmi e cemento * * * * * * colori e vernici, ferramenta e metalli, carburo di calcio,",1,Chemicals and Materials
cortele e e perle,1,GARBAGE
Museo Archeologico,1,Museum
acque minerali,1,Mineral Water
La Radio-elettrica,1,ADVERTISEMENT
Magazzino Ferro,1,Warehouse
macchine da cucire e accessori,1,Sewing Machines
saponi coloniali modici il *-promata,1,ADVERTISEMENT
"colori e vernici, (dettaglio)",1,Paints and Varnishes
Presidente di Sez.,1,GARBAGE
Medico Provinciale,1,medical profession
impresa di costruzioni e falegnameria,1,construction trade
calzaturifico,1,shoemaker
produieni,1,GARBAGE
pizzi e ricami,1,lace and embroidery
riparazioni carrozzerie per auto,1,auto body repair
pesce,1,fishmonger
espresso pozzi neri,1,GARBAGE
ippotrasporti,1,horse transport
ra-bone e logna (dettaglio),1,GARBAGE
Caffè {torreflazione),1,ADVERTISEMENT
"« Biasetto », mercerie, fliati e affini",1,haberdashery
"Istituto Universitario di Economia e Commercio, Ca' Foscari",1,university institution
Legione Territ. Guardia di Finanza di Marghera,1,government/civic institution
Istituto Nazionale per il Commercio Estero,1,government/civic institution
latte (grossista),1,dairy wholesaler
carpentire,1,carpenter
officina meccanica e saldature,1,mechanical workshop
Vicc. Presid. Club Alpino Italiano,1,GARBAGE
Capo Cantiere da A. C. N. I. L.,1,GARBAGE
chincaglie,1,GARBAGE
Dep. Fornaggi,1,GARBAGE
applicato segreteria Istituto Universitario di Aretich.,1,GARBAGE
mobili in ferro (fabbrica),1,metal furniture manufacturer
Costruzioni Navali,1,shipbuilding
Trasporti Postali Carcerari,1,postal transport
navi in legno,1,GARBAGE
cantiere navale S. An,1,shipyard
cantiere navale Monigrea,1,shipyard
imprese opere marittime,1,maritime enterprises
modificatore,1,GARBAGE
Demanio e Pesca Capparinesi di Porto,1,fishing and public domain
Presidente Tribunale Civile e Penale,1,legal profession
Gestione P. Y. Socimezarea,1,GARBAGE
curato autonomo,1,clergy
rappresentante generali alimentarali,1,food representative
sottoscrira,1,GARBAGE
mercegie pellicceria,1,furrier
matalto neuro-se,1,GARBAGE
Bibliotecc 1. stituto Universitario Economia Commercio Co Foscar.,1,university library
detersivi saponi aflini,1,detergents and soaps
ca-toleria,1,GARBAGE
Archivista,1,archivist
sa to da uomo,1,men's clothing
rappresentante generi alimentari tevi (grosso),1,food representative
Patrocinatore legale,1,legal sponsor
macchine contabili calcolatrici,1,accounting machines
trattorio,1,restaurant
elettricisti idraulica gas,1,electricians and plumbers
ostetrico,1,medical profession
profumeria e parrucchiere per signora,1,beauty salon
Sostituto Proc.,1,legal profession
"orificeria, gioielleria",1,jewelry
anticihità belle arti,1,antiques
Giudecca,1,GARBAGE
"vicario S. Leone, (S. Lio)",1,religious institution/clergy
carrozzeria,1,automotive repair
legnami e pelli da costruzioni,1,construction materials
divise,1,uniforms
Istituto Ortopedioco Elioteropico,1,medical institution
casa di spedizione,1,shipping company
mobilio (negozio),1,furniture store
Arredamenti completi,1,furniture
imbarcbi e subarbe,1,GARBAGE
Esclusivisti delle rnigliori Marche Nazionali ed Estere,1,ADVERTISEMENT
"di Belle, Ferrer e Zacchiroli M., carbone e legna (grossista)",1,wholesale
Lavorazione artistica mosaici in smalto di vetro Veneziano,1,artistic craftsmanship
"Filiala: Pietrasanta (Carrara), Viale Oberdan 4, teleg. Castaman Pietrasanta",1,GARBAGE
rappresento macchine,1,machinery
mobilit (negozio),1,furniture store
riscaldamento e fumisteria,1,heating and plumbing
Direttore Banca d'A. mercica e d'Italia,1,banking institution
guarnizioni isolanenti,1,GARBAGE
isolamenti termici ed acustici,1,insulation services
chirurg,1,medical profession
par. socio,1,GARBAGE
caffe',1,café
aimenzanti (dett.),1,GARBAGE
Com. Esecutivo della Cam. Conf. del lavoro,1,government/civic institution
Segretaria della Camera Conf. del Lavoro,1,government/civic institution
sa ta,1,GARBAGE
pasticcera,1,pastry shop
"Vice Cam. dirigente ""Commissariato di Castello""",1,government/civic institution
medicina generale-Ospedale Civile,1,medical profession
"Gespppe Vec-tore s. N., Società mineraria",1,mining company
alimentari (dtt.),1,grocery
caffe' (esercizi),1,café
orefice'ia,1,jewelry store
merce'cie,1,GARBAGE
chiancigliere,1,GARBAGE
aromi per dolci,1,ADVERTISEMENT
fale indoperiche,1,GARBAGE
"Mercerie, filati e affini",1,haberdashery
"Compagnia Erbe, Medicinali, Alimentari",1,herbal medicine
Capo Stazione,1,transportation
Vice Presd. Società Canottieri,1,sports club
Negozio l’imbarchaioni,1,GARBAGE
Tormo,1,GARBAGE
Lavanderia e Stireria,1,laundry service
Vini (Grossista),1,Wholesaler
Acque Gassate,1,Soft Drinks
Fabbrica Vetri,1,Glass Factory
S. Maria della Presentazione (Zitelle),1,Religious Institution
S. Maria Gloriosa dei Frari,1,Religious Institution
Aiutante di CancelI. della Pietura,1,Government Position
Merletta e cirmi,1,Lace and Embroidery
Comm.,1,ADVERTISEMENT
numero 572,1,GARBAGE
rappresentanti carboni,1,Coal Representatives
articoli tecnici combustibili solidi e liquidi,1,Technical Articles
Agenzia Marittima e Spedizioni Internazionali,1,Shipping Agency
numero 565,1,GARBAGE
I. Archiviasti del Genio Civile,1,Government Position
droghcr (commercio),1,Grocer
Cassiere Principale Banca di Napoli,1,Bank Position
Ing. Capo Ufficio Tecnico dell’Amministrazione del Provincia,1,Government Position
fotografe (ottico,1,Photographer
rappresentante assicurazioni,1,Insurance Representative
Compagnia Immobiliare Edile,1,Real Estate Company
Ritratti artistici,1,Artistic Portraits
corred di sposa ment-le e rangni,1,Wedding Attire
caffè (eserzio),1,Café
Printe. Uff. Impianti Elettrici e di Segnalamento,1,Electrical Engineering
S. Marco Piazza Riva S. Chiara,1,Religious Institution
"Sed. Centrale, Mi. lanao, Via Correggio 31",1,GARBAGE
manifattura,1,Manufacturing
Piazzale Roma,1,GARBAGE
casi di spedizione,1,Shipping
prodotti agricoli,1,Agricultural products
Impianti elettrici di luce,1,Electrical installations
gas (industria),1,Gas industry
droghe (commercio),1,Drug trade
Confezioni per signora,1,Women's clothing
Albergo,1,Hotel
Marittimi,1,Shipping company
"Soc. Coop. a r. l, alimentari (det.t.)",1,Food cooperative
Salumi (negozio),1,Delicatessen
Zuccherificio,1,Sugar factory
Latte (produzione),1,Dairy production
"Alimentari (gross.), loc. Villabona",1,Wholesale groceries
"caffè (esercizi) | ""Circolo Varioni""",1,Café
"Soc. Coop. a. r. e. 1., alimentari (dett.)",1,Food cooperative
Màghera,1,GARBAGE
"Soc. per Az. a. r. 1., electrica e idraulica",1,Electric and hydraulic company
facchini pubblici,1,Public porters
pirechettaggio e verniciatura piroscafi,1,Ship painting
patrimenti Ientazioni,1,GARBAGE
"s. a. r. 1., alimentari (dett.)",1,Food cooperative
impresa Edile,1,Construction trade
portabagagli | nella Stazione di Venezia,1,luggage service
"Soc. Coop. a. r. 1., trasporti",1,transport company
facchini | publici,1,porters
tubazioni industriali,1,industrial piping
palombari,1,divers
Geometre,1,surveyor
Comunità Israelitica,1,religious institution
combustibili solidi,1,solid fuels
Calle Larga San Marco,1,GARBAGE
materiali radio elettrici,1,electrical materials
piloti,1,pilots
trattatia,1,ADVERTISEMENT
olii,1,oils
S. Bartolomeo,1,GARBAGE
Segretario Società Costruzioni Bincionaro,1,construction secretary
timbri di gomma in metallo e incisioni,1,rubber stamps
arpicprete Basilica di San Marco,1,ADVERTISEMENT
vini alimentari (ingrosso) (dett.),1,wholesale wines
macellaia,1,butcher
Calle del Mistro,1,GARBAGE
Navagero 54,1,GARBAGE
ferri e metalli usati,1,used metals
S. Marco 4292,1,GARBAGE
tornitore 2362,1,machinist
comprvendita immobili,1,real estate agency
orologiaio,1,watchmaker
liquori (dettaglio),1,liquor store
elettricità idraulica gas,1,utilities
"Costruzioni pavimenti, Terrazzi, Terrazzo alla veneziana stile Settecentesco, Mosaico",1,construction trade
ottici (commerce),1,optician
"Revisore Ufficiale dei Conti, Amministratore Giudiziario",1,legal profession
Lavori in Falegnameria,1,carpentry
dermosifilopatica,1,medical profession
macchine elettrica industriali e motori,1,industrial machinery
dolciumi (girosso),1,confectionery
Capo Stazione di Prima Classe,1,transportation
Segret. presso la Corte d'Appello,1,legal profession
Pres.,1,GARBAGE
"Geometra, prin.e del Genio Civile",1,civil engineer
Revisore dei Cont.,1,accounting
Capo uff. Trasmissioni,1,telecommunications
perle (lavorie i commercio),1,jewelry
macelliere (introduttore bestiame),1,livestock dealer
Condirettore,1,GARBAGE
autotrasport,1,transportation
jeuta,1,GARBAGE
macelleria (isola della Chiesa),1,butcher shop
radiogiologo,1,medical profession
salumn (negozio),1,ADVERTISEMENT
junioico,1,GARBAGE
pittori decoratori,1,decorative painters
catalfurcicico,1,GARBAGE
bandaro a luttioniere,1,GARBAGE
imp::e(.9 ed appalti,1,GARBAGE
impresa-edile,1,construction company
Ispettore Capo Ufficio scritture,1,government/civic institution
"Addetto ""Consigliere""",1,GARBAGE
impianti frigoriferi,1,refrigeration systems
incisore,1,engraver
pellami e cuolo,1,leather goods
orefaceri,1,goldsmith
ingg.,1,engineering
Cassiere,1,cashier
Leva e Mobilitazione,1,military service
Filatelica,1,philately
frigorifero e commcerstihii; catti,1,GARBAGE
arw.,1,GARBAGE
Ragiionere,1,accountant
materiale fotografico etc.,1,photographic materials
Soc. Industria Conserv alimentari,1,food preservation industry
cartu (commercio),1,paper trade
salami,1,salami
lavorazione doghe,1,wood processing
arciprete,1,clergy
sindaco supplente,1,government/civic institution
madura georlua. Le,1,GARBAGE
Vicario S. Sofia,1,Religious institution
ortopedico,1,Medical profession
impianti condizionamento d'aria,1,Air conditioning
"Alla Città di Scbio, Tessuti",1,ADVERTISEMENT
liagerie,1,GARBAGE
asserioazioni,1,GARBAGE
"consigliere Istituto Univers. di Economia e Commerico, C'a Foscari",1,Educational institution
fabbro ferruic meccanico,1,Metalworker
pittunzionii industriali,1,Industrial painting
ldm. Domnla Onesta,1,GARBAGE
"Via Galuppi, Burano",1,GARBAGE
S. Giovanni Decollato,1,Religious institution
Consigliere Ospedale Civile,1,Medical profession
e spechi (commercio e lavorazione),1,Commerce
Imbarcazioni e sbarchi,1,Shipping company
Comandante le tenenze Legione Territoriale dei Carabinieri,1,Government/civic institution
Carbone e legna (vendita al dettaglio),1,Retail trade
Apparecchi o materiale radio,1,Electronics
Antichità e belle arti,1,Antiques
Fruttivendolo,1,Grocer
Abbigliamento uomo,1,Clothing
imprese Edili,1,Construction trade
Municipio,1,Government/civic institution
Ispettorato del Lavoro,1,Government/civic institution
Commissariato di Lido,1,government/civic institution
impresario edile,1,construction trade
ferramenta,1,hardware store
Casa di Ricovero,1,social institution
Ritratti artistici e Lavori industriali - Reparto eliotro cinematografici - vendita materiale fotoincotenografico,1,ADVERTISEMENT
a M arcianca,1,GARBAGE
pesce e carni conservate,1,preserved fish and meat
impresa edili,1,construction trade
vernici sottomarine,1,marine paints
Società Immobiliare,1,real estate company
Insegne decorazioni al Neon,1,ADVERTISEMENT
macellaio,1,butcher
Trattoria vini,1,trattoria
fabbr. Terrario e mecca. nico,1,GARBAGE
molino,1,mill
"Ispett. Capo, Uff. Impianti Elettrici e di Segnalamento, Ferrovie dello Stato, Direzione S. Lucia",1,government/civic institution
manipolazione carboni FF. SS.,1,transportation service
rappresentante goiieri alametari,1,GARBAGE
Segretario Regionale del Lavoro per le Venezie,1,government/civic institution
Rivendita giornalai,1,newsstand
frutti e vermora (grossista),1,wholesale fruits
Tribunale dei Minorenni,1,legal profession
elettricista idraulica e gas,1,plumbing and electrical
Birreria,1,brewery
alla Basilica d’Oro,1,GARBAGE
rappresentanze tessuti,1,fabric representatives
Combustibili solidi e liquidi,1,solid and liquid fuels
pelletterie (negozio),1,leather goods store
caffè (torrefazione),1,coffee roasting
lucido da scarpe,1,shoe polish
Formaggio burro e conserva,1,cheese and butter
pellami e cuoi.,1,leather and hides
hotelgieria,1,hotel management
rappresentanti articoli in vetro,1,glassware representatives
Vice Presidente Deputazione Provinciale dell'Amministrazione della Provincia,1,provincial administration
scnure,1,GARBAGE
mobiliti usati,1,used furniture
merce- rie,1,GARBAGE
Forniture e Rappresentanze Articoli tecnici di Actis Caporale Letizia,1,technical supplies representatives
Purroco San Polo Apostolo,1,parish priest
Tipografia; Cartoleria,1,printing and stationery
Alimentari (dett.); Latteria,1,grocery and dairy
Confezioni,1,packaging
Rappresentanze di prodotti chimici,1,chemical products representatives
Mobili (negozio); Cartoleria,1,furniture store and stationery
Pediatra,1,pediatrician
Cappelleria,1,hat shop
Lingerie e maglie-ig.,1,lingerie and knitwear
Tappezziere,1,upholsterer
Mod.; Pellicerie,1,fashion and leather goods
Fotografa,1,Photographer
muele,1,GARBAGE
cabbone e legna,1,Firewood and Charcoal
Industria,1,Industry
medico chirurgo,1,Medical Profession
frutta e vedura,1,Fruits and Vegetables
Generatori Accellene Brevettati,1,ADVERTISEMENT
Dirig. Uff. Srrvizio,1,Government/Civic Institution
fiori artificiali,1,Artificial Flowers
"oggetti artistici, fotografia",1,Artistic Objects
Direttore Amm.,1,Government/Civic Institution
dettaglio,1,Retail
Campo Bandiera e Moro,1,GARBAGE
"Piazza Umberto 69, Via Piave 72",1,GARBAGE
Caor. prendolo,1,GARBAGE
Murano fdn. Santi 9,1,GARBAGE
in melleria,1,GARBAGE
fornaci da calce e laterizi,1,Construction Trade
vetriere in genere e lampadari,1,Glassmaking
per azioni,1,ADVERTISEMENT
delle Cliniche di Venezia,1,Medical Institution
dolciumi (mag osso),1,Confectionery
coltelli e arrotini,1,Knives and Sharpeners
anticichità e libreria,1,Antiques and Books
Calvacavia,1,GARBAGE
cereali (grossista e deposito),1,wholesale cereals
Cavalcavia,1,GARBAGE
Viale Miranese 98,1,GARBAGE
S. Marco 1119-20,1,GARBAGE
dolciumi (ingrosso),1,wholesale sweets
tabaccherìa,1,tobacco shop
tappezziere c.,1,upholsterer
commerciatista,1,GARBAGE
carbone e legna (det. taglio),1,coal and wood
lanerie e seterie,1,wool and silk
maniffatura e,1,GARBAGE
ricuperi marittimi,1,maritime recovery
Riva Schiavoni,1,GARBAGE
Reparto Compart. di Mobilitazione,1,government institution
fiscoi dischi per la spremitura delle olive,1,GARBAGE
Cassiere Economo,1,GARBAGE
vetro,1,glass
lavandiera,1,laundress
tappeti,1,carpets
Plexiglas,1,GARBAGE
Ass. fra Proprietari di Fabbricati,1,property owners association
(dett),1,GARBAGE
(dettaglio),1,GARBAGE
Istituto di Cultura Fisica,1,physical culture institute
Gestione Agenzie Marittime,1,shipping agency management
Offlcina Elettromeccanica,1,Electromechanical Workshop
Istituto Aut. per le case popolari,1,Public Housing Institute
Accademia di Belle Arti,1,Fine Arts Academy
autonoleggio e automorsa,1,Car Rental and Towing
carni equine,1,Horse Meat
Consigliere (TELVE),1,Counselor
pesce e crostacei,1,Fish and Shellfish
casa e editrice,1,Publishing House
olii commestibili (commercio),1,Edible Oils Trade
Pretura di Mestre,1,Court of Mestre
timbri di gomma,1,Rubber Stamps
"S. A., caffè",1,Café
Pres della (FLG),1,GARBAGE
dirigente Commissariato di S. Marco,1,Director of Police Station
carbone e legna (det- taglio),1,Coal and Wood
fabbro ferrajo e mecrtnico,1,Blacksmith and Mechanic
officina fabbrile,1,Manufacturing Workshop
paniiicio,1,Bakery
"f,attoria",1,Farm
farmacie,1,Pharmacies
Marco 7,1,GARBAGE
faiegrieria,1,GARBAGE
Vice Comm. Acqs.,1,Vice Commissioner
santo da uomo,1,GARBAGE
albergo - ristorante,1,Hotel-Restaurant
fabhro ferraio e meccanico,1,blacksmith and mechanic
Marangon,1,carpenter
Pittore Decoratore,1,painter decorator
Pasticcerias,1,pastry shop
Pelletterie,1,leather goods
Oggetti Artistici,1,artistic objects
Ferri e Metalli Usati,1,used iron and metals
Capo Servizi Sgx. Mag. Gen.,1,service manager
Organiz. (ANT),1,ADVERTISEMENT
Segretario Banca Nazionale del Lavoro,1,national bank secretary
Rappresentante Carta,1,paper representative
Soc. Acc. Sempl. Mobili (Negozio),1,furniture store
"Carte da Gioco ""Modiano""",1,playing cards
Articoli Casalin,1,household articles
di Venezia,1,of Venice
rappresentanze generi alimentarii,1,food distribution
Piazzale S. M. Elisabetta 21,1,ADVERTISEMENT
Comm. Agaxit. Ufficio Stranieri dalla Questura,1,foreign office
vicario S. Barnaba,1,clergy
Comando Mil. lit. Maritt. Aut,1,military command
Commissariato Compartimentale di Polizia Ferroviaria,1,railway police
Gabinetto Prefettura,1,prefecture office
Labor. chimie delle dogane e imposte di fabbriczione,1,customs laboratory
accordatori pianoforti,1,piano tuners
carta (grossista),1,paper wholesaler
rappresentante macchine,1,machinery representative
Comm. dirigente,1,commercial director
autoparosti,1,GARBAGE
trasporti e spedizioni,1,transport and shipping
Σegretario,1,secretary
magil'na (fabbrica),1,factory
Salvi Marco 2887,1,GARBAGE
Silvio. Giovanni e Mario,1,GARBAGE
bottiligeria,1,bottling industry
levame e pali da costruzioni,1,construction materials
Cann 8971,1,GARBAGE
Mlumlnio,1,GARBAGE
S. Pietro in Volto,1,religious institution
"Appareohgl per saldatura e taglio osalacetilenici, Riduttori di presslone, Impiantì di distrlbufione gas compressl, Rappresentanti per il Veneto: Soc. Rapprentazne Generali, S. Molse.",1,ADVERTISEMENT
"Pelletseun, Sarn Pietro in Volta",1,GARBAGE
Consegnatario Magazino Distretto Militaire dl Veniuzia,1,military supply
Gludeco 595,1,GARBAGE
lubrificanti,1,lubricants
lavori municipalizzati,1,municipal works
Cucine economiche,1,economical kitchens
seterie e lanerie,1,silk and wool
pellicceria tessuti,1,fur and textiles
pianificato,1,GARBAGE
fornura di calcei e butteri,1,shoe and boot supply
Trasporti Fluviali,1,river transport
importazione ed espor tazione varie,1,import/export
cartolexia,1,GARBAGE
Vescovo Ausiliare,1,religious institution/clergy
impresa edile riscaldamento fumisteria,1,construction trade
Adriatico,1,GARBAGE
fabbrica e deposito,1,factory and warehouse
marmellate frutta vendura (grossista),1,wholesale food
perlo (lavoro e commercio),1,GARBAGE
"di Spedizione, spedizioni e trasporti",1,shipping company
prodotti e sottoprodotti petroliferi,1,petroleum products
Giudice: Tribunale Civile e Penale,1,legal profession
Cantiere navale,1,shipyard
Radio e radiogrammofoni,1,electronics
Abiti (riparazioni),1,tailor
Cinema (agenzia noleggio film),1,ADVERTISEMENT
Vetro (lavorazione),1,glassworking
Trasporto,1,transportation
"Organizzazione Trasporti, spedizioni e trasporti",1,shipping company
Presidente Tstinto Veneto di Scienze Lettere ed Arti,1,government/civic institution
Medico generale,1,medical profession
"Ass. Naz. Mutilati ed Invalidi di Guerra, ex Palazzo Reale",1,government/civic institution
Parocco,1,religious institution/clergy
Alimentari (gross),1,grocery
Villuitteur,1,GARBAGE
"Commercio riso, farina, legumi, Ortaggi conservati all'orto, Carta da imbacco, Saponi in genere",1,wholesale food
Elettricista idraulica e gas,1,electrician
Deposito mobili,1,furniture storage
DU5E,1,GARBAGE
trattoria | P. Marghera Vi Rossanrol,1,trattoria
medicina generale | Osp. Infettivi,1,general medicine
ostetrice | Mestre,1,midwife
articoli somm.a,1,GARBAGE
farmaciaa,1,pharmacy
minerial,1,GARBAGE
rappresentante-prodotti chimii,1,chemical products
lavaderia e stierira,1,laundry service
rapprsentate macchinari,1,machinery representative
alimentari gross.,1,grocery wholesale
F.I.T.T.V.,1,GARBAGE
rappresentante penni alimentari,1,food representative
Consigliere Isttautiz Aut. per le case poplari,1,government institution
bandaio lattoniere,1,metalworker
S. Polo 2380,1,GARBAGE
Santa Apneise 909-A,1,GARBAGE
chincaglieria,1,miscellaneous goods
fabbrica,1,factory
Frari,1,GARBAGE
S. Polo 1421-A,1,GARBAGE
autoviatporti,1,transportation service
S. Marco 570,1,GARBAGE
S. Polo 2355,1,GARBAGE
S. Angelo 3880,1,GARBAGE
S. Angelo 3538,1,GARBAGE
metalli minuti,1,metal goods
Cann. 2102,1,GARBAGE
manutentore,1,maintenance
Ufficio di Espett. Oggetti di Antichita e d’Arte,1,antique and art office
Ass. dei Commercianti,1,merchants' association
fond. Cavor 13,1,GARBAGE
fotografie (gabinetti di pos.,1,photography
bar.,1,bar
di Giovanni Lucangei,1,GARBAGE
valigeria,1,luggage
rappresentante articoli in vetro,1,glassware representative
rappresentanze generali e limenari,1,general representation
P. S. in S.P.K.,1,GARBAGE
frigoriferi,1,refrigerators
terrazzano,1,GARBAGE
ispett. comp. dell'Ispettorato delle Imposte direttc,1,tax inspectorate
caroleria,1,GARBAGE
"articoli casalinghi, cartoleria",1,household goods
manifature,1,manufacturing
"merceire, filati e affini",1,haberdashery
lingería e maglierie mercerie filati,1,lingerie and knitwear
Ispettrice Gener. Opera Pia; Asili di Carità per l'Infanzia,1,charitable institution
"confezioni per uomo, impermanefili lingerie e maglierie",1,men's clothing
pellami e cuoi a,1,leather goods
deposito Marghera,1,storage facility
mercerie filati,1,haberdashery
alimentari (dott.),1,grocery
Pres. Società degli Amici dei Monumenti,1,cultural association
vic. intend. dell’Intendenza di Finanza,1,government office
frutta,1,fruit vendor
Ospedale Civile,1,hospital
"San Trovasso, Palazzo Giustinian",1,historical site
"S. Trovasso, Palazzo Giustinian",1,historical site
Reggente Uff. Ist. Naz. Ass. Malattia ai Lavoratori,1,government office
"C. Reparto, Uff. personale Ferrovie dello Stato",1,government office
Direttore Banca d’Italia,1,banking
cererie e prodotti affini,1,candle making
coltellaio e arrotino,1,knife maker
ebanista,1,cabinet maker
scuola,1,school
Laboratorio orologeria,1,watchmaking
Favaro Veneto Dese,1,location
Apparecchi agricoli,1,agricultural equipment
Acc. Senni.,1,GARBAGE
Fiori,1,flowers
Rappresentante,1,representative
Basilica di S. Marco,1,religious institution
"Confezioni Pellicceria, Deposito Pelli",1,Furrier
"Spedizioni Terrestre Marittime e Fluviali per l'Interno e per l'Estero, Filiali o Corrispondenti nelle principali località Italiane ed Estere. Servizi speciali di spedizione a mezzo autocarro e per Lombardia, Piemonte, Liguria, Emilia, Toscana, Lazio, Italia Centrale, Meridionale e Insulare.",1,Shipping Company
munitettature,1,GARBAGE
"Distribuzione e l'ispezione di giornali, Distribuzione giornali, Distribuzione Libri",1,Newspaper Distribution
rappresentante materiale elettrico,1,Electrical Supplier
rappresentante attorcchi in vitro,1,GARBAGE
calsature,1,GARBAGE
mobili sati,1,Furniture Store
di Eugenio e Mario Miozzi,1,ADVERTISEMENT
merce verie,1,GARBAGE
pittore decorato.°,1,Painter
Commissario dela Casa Previd. Lavoratori Portuali,1,Government Institution
carbone legna legnam & pali da costruzioni,1,Construction Materials
mercer.,1,Mercer
"Istituto Universitario di Economia e Commercio, Ca Foscari",1,University
Tappzatore,1,Upholsterer
orefici,1,Goldsmith
Provveditoria Marittima,1,Maritime Authority
prov. servizio impianti sport,1,Sports Facility Services
I Assistente del Genio Civile,1,Civil Engineering
pensione albergo,1,Hotel
rappresentante macchineri,1,Machinery Representative
materiale fotografia,1,Photography Supplies
sartola confezioni per uomo,1,Men's Tailoring
Pasticceria e Bar,1,Pastry Shop
Parroco,1,clergy
Specialità veneziana,1,ADVERTISEMENT
"Rappresentante tessuti, confezioni, liniti",1,textile representative
Dirigente,1,executive
"Specialità venoziane, pelletterie",1,leather goods
Specialità venoziane,1,ADVERTISEMENT
Decoratore e Pittore,1,decorator and painter
Lavandiner e stirrac,1,laundry services
"Specialità veneziana, quadri riproduzioni ed oggetti artistici",1,art reproductions
Imballaggi in legno,1,wooden packaging
Fonderia meccanica,1,mechanical foundry
Generacia,1,GARBAGE
"Legnime, mercerie, filat e affini",1,timber and haberdashery
Articoli sanitari,1,medical supplies
compravendita,1,trading
acciai,1,steel
armatore-aganzuia marittima,1,shipping company
materiale fotografico,1,photographic materials
radio e radio; alumunofni,1,GARBAGE
"prodotti officinali,S.g.r.l. prodotti farmaceutici (commerciali)",1,pharmaceutical products
cofor,1,GARBAGE
fatto da uomo,1,GARBAGE
RIECA,1,GARBAGE
Sottuto,1,GARBAGE
Specialisti in malattie oculari,1,medical profession
carta da macera,1,paper trade
cantlere navale,1,naval engineering
macchine a motori,1,machinery
Gran Viale 17,1,GARBAGE
vetreria,1,glassworks
Zinografia,1,GARBAGE
"Segretario di prima classe Tribunale Civile e Penale, Rialto numero 186",1,legal profession
nuclei Scal. Marghera,1,GARBAGE
eletrogavanica,1,electroplating
murtori,1,GARBAGE
C.P. 28,1,GARBAGE
Contabili ecc.,1,accounting
legnami e palia da costruzioni,1,construction materials
"C. Reparto Gl. personale Ferrovie dello Stato, Direzione",1,government/civic institution
olii commestibili (commerce),1,edible oils
"Società Italiana Cinemato-grafia, Soc. a r. l., cinema (aggenzi noleggio film)",1,cinema
"Costruzioni ed impianti elettrici idraulici sanitari e gas, Officina riparazioni, Venezia materiale",1,construction trade
calzaturficio,1,shoe factory
Riva Schiavoni 4207,1,GARBAGE
parroco S. Maria Elisabetta di Lido,1,religious institution/clergy
specialita veneziane,1,ADVERTISEMENT
rappresentante macchiarer,1,sales representative
"armi, munizioni, proiettili",1,arms trade
frutta e verdura (Grossista),1,wholesale produce
"Magasin de Paris, Sartoria, Confezioni e Lingerie di Lusso",1,fashion and tailoring
numero 45,1,GARBAGE
"fiori, piante e sementi",1,Florist
stoffine e tessuti,1,Fabrics
nettezza urbana,1,Waste Management
Proc. Tribunale Civile e Penale,1,Legal Profession
commercio enologico,1,Wine Trade
PSC. Soc. Ven. dell (UITIS),1,GARBAGE
Segretario Generale Deputazione Provinciale dell'Amministrazione della Provincia,1,Government Institution
perle (produtt. e commercio),1,Pearls Trade
mercerie e filati,1,Notions and Yarns
foraggi,1,Animal Feed
Bar caffè (esercii),1,Café
caffe (servizii),1,Coffee Services
fed. It. della Vela (FIV),1,Sailing Federation
"cicli e motocicli (accessori, riparazioni, vendite)",1,Bicycle and Motorcycle
via Dese,1,GARBAGE
Statistica Sez. Dogana,1,Government Institution
Intend. di Finanza,1,Government Institution
saponi,1,Soap
articoli funebri,1,Funeral Articles
"alimentari, gross.",1,Grocery Wholesale
"alimentari, detti",1,Grocery Retail
Clinica Ostetrica,1,Medical Profession
Lagenitmi e pali da costruzioni,1,Construction Trade
"mercerie, afiat e affini",1,Notions and Yarns
S. Polo 1418,1,GARBAGE
"caffe, commercio, droghe e dolciumi, Coloniali",1,Grocery Store
"caffè, importatori, droghe e dolciumi, coloniali",1,Grocery Store
P.esqnd. Automobile Club d’Italia,1,Automobile Club
Ritratti artistici - Lavori industriali - Reparto elmo-cinografico - Veduta materiale fotocinomatografico,1,ADVERTISEMENT
Produzione e Lavorazione vetro per Soffierie,1,Glass Production
noloeggio imbarcazioni,1,Boat Rental
manifatture tessuti,1,Textile Manufacturing
fornica di calce e laterizi,1,Construction Materials
carne vegetale,1,ADVERTISEMENT
"Ispetore Capo, Sez, Lavori di Venezia",1,Government Institution
modisteria,1,Millinery
Biblioteca Marcinina,1,Library
Via Rosa,1,GARBAGE
Agenzia Bufolo Gina,1,ADVERTISEMENT
piasza Giovanni,1,GARBAGE
pm. Patriarcale,1,Government Institution
Magazzino Deposito Materiali da Costruzioni,1,Construction Warehouse
Materiali per l’Edilizia,1,Building Materials
Gran Viale,1,GARBAGE
"cartoleria, libreria",1,Stationery Store
